2025-08-05 11:50:38,490 - Epoch:001, train loss:2.4991, val loss:1.8955, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:73.60, val_dep_acc:63.11, time:1.12 s
2025-08-05 11:50:39,586 - Epoch:002, train loss:1.6848, val loss:1.5400, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:75.08, val_dep_acc:67.16, time:1.09 s
2025-08-05 11:50:40,804 - Epoch:003, train loss:1.4403, val loss:1.3666, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:76.81, val_dep_acc:70.46, time:1.22 s
2025-08-05 11:50:41,896 - Epoch:004, train loss:1.3045, val loss:1.2568, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:78.04, val_dep_acc:73.66, time:1.09 s
2025-08-05 11:50:42,929 - Epoch:005, train loss:1.2135, val loss:1.1787, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:78.06, val_dep_acc:76.33, time:1.03 s
2025-08-05 11:50:43,960 - Epoch:006, train loss:1.1464, val loss:1.1189, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:78.78, val_dep_acc:77.23, time:1.03 s
2025-08-05 11:50:45,075 - Epoch:007, train loss:1.0940, val loss:1.0709, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.12, val_dep_acc:78.07, time:1.11 s
2025-08-05 11:50:46,360 - Epoch:008, train loss:1.0515, val loss:1.0319, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.09, val_dep_acc:78.72, time:1.29 s
2025-08-05 11:50:47,575 - Epoch:009, train loss:1.0163, val loss:0.9991, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.38, val_dep_acc:79.01, time:1.21 s
2025-08-05 11:50:48,713 - Epoch:010, train loss:0.9868, val loss:0.9713, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.31, val_dep_acc:80.61, time:1.14 s
2025-08-05 11:50:49,975 - Epoch:011, train loss:0.9616, val loss:0.9479, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.28, val_dep_acc:82.11, time:1.26 s
2025-08-05 11:50:51,051 - Epoch:012, train loss:0.9401, val loss:0.9274, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.28, val_dep_acc:82.82, time:1.08 s
2025-08-05 11:50:52,099 - Epoch:013, train loss:0.9215, val loss:0.9099, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.42, val_dep_acc:83.35, time:1.05 s
2025-08-05 11:50:53,142 - Epoch:014, train loss:0.9054, val loss:0.8948, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.48, val_dep_acc:83.88, time:1.04 s
2025-08-05 11:50:54,304 - Epoch:015, train loss:0.8914, val loss:0.8815, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.47, val_dep_acc:84.70, time:1.16 s
2025-08-05 11:50:55,453 - Epoch:016, train loss:0.8791, val loss:0.8699, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.77, val_dep_acc:84.65, time:1.15 s
2025-08-05 11:50:56,558 - Epoch:017, train loss:0.8683, val loss:0.8596, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:84.97, time:1.11 s
2025-08-05 11:50:57,646 - Epoch:018, train loss:0.8588, val loss:0.8504, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:84.99, time:1.09 s
2025-08-05 11:50:58,692 - Epoch:019, train loss:0.8502, val loss:0.8423, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.16, time:1.05 s
2025-08-05 11:50:59,703 - Epoch:020, train loss:0.8427, val loss:0.8350, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.80, val_dep_acc:85.09, time:1.01 s
2025-08-05 11:51:00,981 - Epoch:021, train loss:0.8358, val loss:0.8282, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.80, val_dep_acc:85.17, time:1.28 s
2025-08-05 11:51:02,124 - Epoch:022, train loss:0.8297, val loss:0.8222, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.80, val_dep_acc:85.30, time:1.14 s
2025-08-05 11:51:03,348 - Epoch:023, train loss:0.8241, val loss:0.8171, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.80, val_dep_acc:85.34, time:1.22 s
2025-08-05 11:51:04,401 - Epoch:024, train loss:0.8190, val loss:0.8120, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.52, time:1.05 s
2025-08-05 11:51:05,346 - Epoch:025, train loss:0.8144, val loss:0.8076, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.47, time:0.94 s
2025-08-05 11:51:06,447 - Epoch:026, train loss:0.8102, val loss:0.8037, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.78, val_dep_acc:85.67, time:1.10 s
2025-08-05 11:51:07,503 - Epoch:027, train loss:0.8063, val loss:0.7997, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.74, time:1.06 s
2025-08-05 11:51:08,702 - Epoch:028, train loss:0.8027, val loss:0.7963, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.83, time:1.20 s
2025-08-05 11:51:09,982 - Epoch:029, train loss:0.7994, val loss:0.7928, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:85.88, time:1.28 s
2025-08-05 11:51:11,196 - Epoch:030, train loss:0.7963, val loss:0.7898, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:86.02, time:1.21 s
2025-08-05 11:51:12,239 - Epoch:031, train loss:0.7934, val loss:0.7870, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.00, val_dep_acc:86.09, time:1.04 s
2025-08-05 11:51:13,178 - Epoch:032, train loss:0.7908, val loss:0.7843, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.00, val_dep_acc:86.06, time:0.94 s
2025-08-05 11:51:14,235 - Epoch:033, train loss:0.7882, val loss:0.7818, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.00, val_dep_acc:86.31, time:1.06 s
2025-08-05 11:51:15,290 - Epoch:034, train loss:0.7859, val loss:0.7798, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:86.58, time:1.05 s
2025-08-05 11:51:16,533 - Epoch:035, train loss:0.7838, val loss:0.7776, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.86, val_dep_acc:86.65, time:1.24 s
2025-08-05 11:51:17,663 - Epoch:036, train loss:0.7817, val loss:0.7755, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.30, time:1.13 s
2025-08-05 11:51:18,654 - Epoch:037, train loss:0.7798, val loss:0.7735, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.62, time:0.99 s
2025-08-05 11:51:19,675 - Epoch:038, train loss:0.7780, val loss:0.7721, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:86.68, time:1.02 s
2025-08-05 11:51:20,616 - Epoch:039, train loss:0.7763, val loss:0.7701, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.41, time:0.94 s
2025-08-05 11:51:21,726 - Epoch:040, train loss:0.7747, val loss:0.7686, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.69, time:1.11 s
2025-08-05 11:51:22,960 - Epoch:041, train loss:0.7732, val loss:0.7673, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.79, val_dep_acc:86.71, time:1.23 s
2025-08-05 11:51:24,253 - Epoch:042, train loss:0.7718, val loss:0.7657, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.78, time:1.29 s
2025-08-05 11:51:25,394 - Epoch:043, train loss:0.7704, val loss:0.7645, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.74, time:1.14 s
2025-08-05 11:51:26,533 - Epoch:044, train loss:0.7691, val loss:0.7632, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.80, time:1.14 s
2025-08-05 11:51:27,645 - Epoch:045, train loss:0.7679, val loss:0.7619, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.01, val_dep_acc:86.74, time:1.11 s
