2025-07-30 17:22:23,116 - Epoch:001, train loss:1.8710, val loss:1.2786, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:74.27, val_dep_acc:81.74, time:4.14 s
2025-07-30 17:22:27,258 - Epoch:002, train loss:1.0884, val loss:0.9591, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:76.41, val_dep_acc:86.50, time:4.14 s
2025-07-30 17:22:31,289 - Epoch:003, train loss:0.9005, val loss:0.8513, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:78.26, val_dep_acc:87.44, time:4.03 s
2025-07-30 17:22:35,315 - Epoch:004, train loss:0.8228, val loss:0.7956, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.29, val_dep_acc:87.85, time:4.03 s
2025-07-30 17:22:39,462 - Epoch:005, train loss:0.7805, val loss:0.7658, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.71, val_dep_acc:88.18, time:4.15 s
2025-07-30 17:22:43,495 - Epoch:006, train loss:0.7544, val loss:0.7427, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.34, val_dep_acc:88.43, time:4.03 s
2025-07-30 17:22:47,389 - Epoch:007, train loss:0.7371, val loss:0.7348, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.41, val_dep_acc:88.39, time:3.89 s
2025-07-30 17:22:51,409 - Epoch:008, train loss:0.7240, val loss:0.7200, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.68, val_dep_acc:88.50, time:4.02 s
2025-07-30 17:22:55,558 - Epoch:009, train loss:0.7145, val loss:0.7097, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:80.80, val_dep_acc:88.54, time:4.15 s
2025-07-30 17:22:59,453 - Epoch:010, train loss:0.7062, val loss:0.7021, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.14, val_dep_acc:88.43, time:3.89 s
2025-07-30 17:23:03,497 - Epoch:011, train loss:0.7001, val loss:0.6965, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.47, val_dep_acc:88.75, time:4.04 s
2025-07-30 17:23:07,421 - Epoch:012, train loss:0.6949, val loss:0.6938, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.47, val_dep_acc:88.48, time:3.92 s
2025-07-30 17:23:11,329 - Epoch:013, train loss:0.6908, val loss:0.6903, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.50, val_dep_acc:88.62, time:3.91 s
2025-07-30 17:23:15,385 - Epoch:014, train loss:0.6878, val loss:0.6870, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.52, val_dep_acc:88.84, time:4.06 s
2025-07-30 17:23:19,411 - Epoch:015, train loss:0.6846, val loss:0.6849, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.57, val_dep_acc:88.83, time:4.03 s
2025-07-30 17:23:23,316 - Epoch:016, train loss:0.6833, val loss:0.6860, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.57, val_dep_acc:88.69, time:3.90 s
2025-07-30 17:23:27,228 - Epoch:017, train loss:0.6808, val loss:0.6823, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.84, val_dep_acc:88.82, time:3.91 s
2025-07-30 17:23:31,151 - Epoch:018, train loss:0.6789, val loss:0.6811, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.55, val_dep_acc:88.54, time:3.92 s
2025-07-30 17:23:35,066 - Epoch:019, train loss:0.6776, val loss:0.6804, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.60, val_dep_acc:88.64, time:3.92 s
2025-07-30 17:23:39,056 - Epoch:020, train loss:0.6764, val loss:0.6780, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.67, val_dep_acc:88.70, time:3.99 s
2025-07-30 17:23:43,109 - Epoch:021, train loss:0.6747, val loss:0.6757, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.87, val_dep_acc:88.93, time:4.05 s
2025-07-30 17:23:47,016 - Epoch:022, train loss:0.6739, val loss:0.6759, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.67, val_dep_acc:88.74, time:3.91 s
2025-07-30 17:23:50,904 - Epoch:023, train loss:0.6722, val loss:0.6760, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.68, val_dep_acc:88.79, time:3.89 s
2025-07-30 17:23:54,819 - Epoch:024, train loss:0.6714, val loss:0.6738, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.00, val_dep_acc:88.84, time:3.91 s
2025-07-30 17:23:58,841 - Epoch:025, train loss:0.6701, val loss:0.6734, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.81, val_dep_acc:88.97, time:4.02 s
