2025-08-05 20:25:51,224 - Epoch:001, train loss:1.9886, val loss:1.5375, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:75.47, val_dep_acc:86.46, time:8.16 s
2025-08-05 20:25:59,601 - Epoch:002, train loss:1.4053, val loss:1.2957, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:77.92, val_dep_acc:87.28, time:8.38 s
2025-08-05 20:26:07,784 - Epoch:003, train loss:1.2317, val loss:1.1678, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:79.21, val_dep_acc:87.74, time:8.18 s
2025-08-05 20:26:15,717 - Epoch:004, train loss:1.1274, val loss:1.0836, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.28, val_dep_acc:87.99, time:7.93 s
2025-08-05 20:26:23,982 - Epoch:005, train loss:1.0552, val loss:1.0218, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.78, val_dep_acc:88.12, time:8.26 s
2025-08-05 20:26:32,306 - Epoch:006, train loss:0.9995, val loss:0.9778, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.76, val_dep_acc:88.13, time:8.32 s
2025-08-05 20:26:40,468 - Epoch:007, train loss:0.9608, val loss:0.9460, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.87, val_dep_acc:87.55, time:8.16 s
2025-08-05 20:26:48,785 - Epoch:008, train loss:0.9257, val loss:0.9148, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.74, val_dep_acc:88.21, time:8.32 s
2025-08-05 20:26:57,044 - Epoch:009, train loss:0.9001, val loss:0.8932, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.79, val_dep_acc:88.10, time:8.26 s
2025-08-05 20:27:05,523 - Epoch:010, train loss:0.8756, val loss:0.8701, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.81, val_dep_acc:87.82, time:8.48 s
2025-08-05 20:27:14,091 - Epoch:011, train loss:0.8534, val loss:0.8517, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.76, val_dep_acc:87.86, time:8.57 s
2025-08-05 20:27:22,390 - Epoch:012, train loss:0.8342, val loss:0.8377, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.81, val_dep_acc:88.38, time:8.30 s
2025-08-05 20:27:30,418 - Epoch:013, train loss:0.8148, val loss:0.8166, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.79, val_dep_acc:88.37, time:8.03 s
2025-08-05 20:27:38,652 - Epoch:014, train loss:0.7985, val loss:0.7992, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.63, val_dep_acc:88.48, time:8.23 s
2025-08-05 20:27:47,022 - Epoch:015, train loss:0.7824, val loss:0.7842, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.65, val_dep_acc:88.53, time:8.37 s
2025-08-05 20:27:55,503 - Epoch:016, train loss:0.7684, val loss:0.7709, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.60, val_dep_acc:88.60, time:8.48 s
2025-08-05 20:28:03,746 - Epoch:017, train loss:0.7581, val loss:0.7599, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.60, val_dep_acc:88.58, time:8.24 s
2025-08-05 20:28:11,880 - Epoch:018, train loss:0.7468, val loss:0.7521, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.51, val_dep_acc:88.51, time:8.13 s
2025-08-05 20:28:20,216 - Epoch:019, train loss:0.7362, val loss:0.7424, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.53, val_dep_acc:88.62, time:8.33 s
2025-08-05 20:28:28,441 - Epoch:020, train loss:0.7282, val loss:0.7359, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.41, val_dep_acc:88.30, time:8.22 s
2025-08-05 20:28:36,537 - Epoch:021, train loss:0.7213, val loss:0.7296, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.45, val_dep_acc:88.32, time:8.10 s
2025-08-05 20:28:44,903 - Epoch:022, train loss:0.7158, val loss:0.7227, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.42, val_dep_acc:88.66, time:8.37 s
2025-08-05 20:28:53,122 - Epoch:023, train loss:0.7121, val loss:0.7195, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.45, val_dep_acc:88.72, time:8.22 s
