2025-08-05 22:11:14,213 - Epoch:001, train loss:1.4036, val loss:0.8608, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.16, val_dep_acc:81.53, time:7.82 s
2025-08-05 22:11:20,003 - Epoch:002, train loss:0.7660, val loss:0.7133, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.58, val_dep_acc:87.36, time:5.79 s
2025-08-05 22:11:26,374 - Epoch:003, train loss:0.7082, val loss:0.6893, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.03, val_dep_acc:87.76, time:6.37 s
2025-08-05 22:11:32,721 - Epoch:004, train loss:0.6886, val loss:0.6906, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.05, val_dep_acc:86.99, time:6.35 s
2025-08-05 22:11:38,941 - Epoch:005, train loss:0.6785, val loss:0.6705, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.05, val_dep_acc:88.32, time:6.22 s
2025-08-05 22:11:45,281 - Epoch:006, train loss:0.6733, val loss:0.6797, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.65, val_dep_acc:87.01, time:6.34 s
2025-08-05 22:11:51,503 - Epoch:007, train loss:0.6696, val loss:0.6647, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.07, val_dep_acc:88.56, time:6.22 s
2025-08-05 22:11:57,768 - Epoch:008, train loss:0.6644, val loss:0.6677, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.57, val_dep_acc:88.24, time:6.26 s
2025-08-05 22:12:04,186 - Epoch:009, train loss:0.6630, val loss:0.6598, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.61, val_dep_acc:88.72, time:6.42 s
2025-08-05 22:12:10,570 - Epoch:010, train loss:0.6584, val loss:0.6592, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.93, val_dep_acc:88.53, time:6.38 s
2025-08-05 22:12:17,204 - Epoch:011, train loss:0.6569, val loss:0.6562, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.64, val_dep_acc:88.82, time:6.63 s
2025-08-05 22:12:23,510 - Epoch:012, train loss:0.6549, val loss:0.6568, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.00, val_dep_acc:88.76, time:6.31 s
2025-08-05 22:12:29,931 - Epoch:013, train loss:0.6531, val loss:0.6548, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.11, val_dep_acc:88.88, time:6.42 s
2025-08-05 22:12:36,413 - Epoch:014, train loss:0.6500, val loss:0.6545, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.62, val_dep_acc:88.96, time:6.48 s
2025-08-05 22:12:42,710 - Epoch:015, train loss:0.6496, val loss:0.6565, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.48, val_dep_acc:87.94, time:6.30 s
2025-08-05 22:12:48,562 - Epoch:016, train loss:0.6487, val loss:0.6539, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.09, val_dep_acc:88.92, time:5.85 s
2025-08-05 22:12:55,042 - Epoch:017, train loss:0.6462, val loss:0.6525, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.04, val_dep_acc:88.84, time:6.48 s
2025-08-05 22:13:01,664 - Epoch:018, train loss:0.6454, val loss:0.6530, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:81.67, val_dep_acc:88.63, time:6.62 s
2025-08-05 22:13:07,986 - Epoch:019, train loss:0.6433, val loss:0.6547, seu_loss1:0.0000, seu_loss2:0.0000, val_sev_acc:82.19, val_dep_acc:88.72, time:6.32 s
